ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1509,8010614.615384615,8969923.076923076,11724384.615384616,13949961.538461538,17847938.93129771,19185305.34351145,18962404.58015267,18354770.99236641,16421068.702290077,15878257.575757576,15340303.030303031,15686818.181818182,15747234.848484848,14920946.969696969,15324734.848484848,16097196.969696969,21431325.757575758,22931136.363636363,25044924.242424242,35974633.71212121,37529786.84210526,40890248.50746269,46353769.02985074,45017143.333333336,36667188.9298893,32672538.745387454,30877453.505535055,30775493.35793358,30134426.93726937,34745049.81549816
0405,69249614.1025641,84081987.82051282,91922756.41025642,97827179.48717949,116784230.76923077,85109240.50632912,137273417.721519,72468703.7037037,62836111.11111111,57605644.17177914,59253619.63190184,77726886.2275449,84876964.28571428,95676213.01775149,97632248.52071007,106920710.0591716,150099881.65680474,165100295.85798818,165071647.05882353,179257864.70588234,176997647.05882353,188895529.4117647,203563646.78362572,209687532.74853802,233344548.5380117,231562590.64327484,287584262.57309943,311909977.7777778,318701674.8538012,341894931.4285714
1409,8408805.03144654,10784812.5,12690375.0,13748625.0,20311625.0,19821375.0,20417375.0,18202087.912087914,18390439.56043956,18200989.01098901,18190659.34065934,18524285.714285713,18960824.175824177,17883406.59340659,18187197.802197803,21727158.469945356,24335118.032786883,25774938.25136612,27119671.038251366,30038035.0,32329482.222222224,39804140.206185564,49163740.206185564,48820569.072164945,43955711.05527638,37551451.5,49027115.12195122,48889253.65853658,52771505.82524272,56990135.885167465
1109,7052091.489361702,11904042.553191489,14011590.106007067,16012631.578947369,19797017.54385965,16637894.736842105,16887867.13286713,17837587.41258741,37862832.167832166,37337972.02797203,38512867.132867135,38712902.0979021,39642832.167832166,40617762.237762235,41256363.63636363,41782342.65734266,47965629.37062937,48646079.020979024,50726345.80419581,58677865.03496504,58904074.56445993,55581594.097222224,61182723.26388889,58991645.13888889,56874267.36111111,53886117.36111111,52680458.823529415,52564453.28719723,56523614.18685121,58822044.98269896
2019,8509482.071713148,10620737.051792828,12889701.195219124,14864103.585657371,18943844.621513944,18795756.972111553,18779681.2749004,16290338.645418327,15974820.717131475,16084302.78884462,17312808.76494024,17555912.698412698,17971527.777777776,19041607.14285714,20093412.698412698,20856011.904761903,26150793.84920635,27765437.698412698,30301034.523809522,35858621.23015873,38188685.31746032,39341800.1980198,43452963.56435644,40468357.22772277,40487342.97029703,39794543.762376234,39294563.56435644,39425076.43564356,41123371.28712871,41244540.396039605
2018,15319106.451612903,23208024.565756824,26787468.98263027,31685409.429280397,39496476.42679901,21240719.602977667,21168271.604938272,18273481.48148148,17747827.16049383,17923728.395061728,19016592.592592593,19253358.02469136,19734222.222222224,21065061.728395063,21865432.098765433,22677703.703703705,28070171.99017199,29682088.452088453,32846772.61613692,38588871.078431375,40986896.078431375,42729227.383863084,48284835.67961165,45528136.16504855,44685704.842615016,43501445.52058111,42895731.23486683,43171455.421686746,45856194.69879518,48154845.78313253
0308,147025430.15873015,220771937.67258382,241604323.47140038,275949627.6134122,329632760.55226827,337381568.5658153,330234517.41682976,261957687.9377432,239274584.139265,231133114.11992264,228393442.94003868,233097234.0425532,251956640.92664093,285721516.3147793,297441586.99808794,326745447.61904764,401094654.3560606,438541964.7834275,387069777.98507464,407028615.0515464,415298303.1809145,469883127.5735294,541174321.557971,602960484.9462366,727663882.2580645,705275775.2688172,687761666.1896243,665646517.3524151,673073318.0357143,733679116.7557932
2015,9337370.778720124,16247657.935285054,17130640.740740743,21816383.962991517,25156181.67821401,9423071.593533488,9550527.119938884,8447009.916094584,8257599.693251533,8022482.75862069,8370817.417876242,8440198.624904508,8693949.771689497,9234118.541033434,9546305.828917487,9818066.465256797,11891014.24287856,12629478.299776286,13617031.273268802,17627093.96423249,18553249.96282528,19201818.64904552,21280063.795620438,20933370.324909747,19980995.707248416,18962409.14848698,18826807.67065447,18907575.862068966,19502215.05602241,19814146.148459382
0306,443830713.58381504,648949521.2427746,756837259.2805755,895403996.5467626,983526099.5683453,981560542.1582733,986448025.8249642,660300545.3505007,594926523.6051502,585488045.3257791,597837122.7080395,608618363.6363636,641376163.434903,733201229.281768,822535572.4137931,972072933.8842975,1177911178.3746557,1226261797.9395604,1164462758.2191782,1149604009.7305388,1197497014.7982063,1190106593.4604905,1359133858.6394558,1550417986.6847825,1687572414.1304348,1516160476.3907733,1411797618.1818182,1370950873.8836265,1392906709.3369417,1492556096.075778
2017,263679779.03225806,512319263.2426989,559410303.3232628,661090021.3709677,802244468.9378757,23089509.01803607,23099740.25974026,20583046.95304695,22040508.982035927,22038954.183266934,22247651.74129353,22422328.358208954,23244216.26984127,24434658.077304263,25008217.82178218,25589446.640316207,28550784.516765285,29425512.82051282,31129334.319526628,38245962.56157635,40103810.226155356,41093580.31341822,43917181.61478599,42073192.70428015,41192912.451361865,40345128.40466926,40417334.62657614,40618865.56741028,43772991.81117534,43849933.62235068
0304,14669589.419795223,22205085.324232083,24440409.55631399,31339383.561643835,39032789.11564626,41999931.972789116,47488918.91891892,34249189.18918919,30262635.135135137,30047398.64864865,31647466.216216218,32516891.891891893,34469763.51351351,38226385.13513514,39426868.68686869,44322558.922558926,57758926.93602694,60751204.37710438,61368850.33557047,69137844.5229682,67685101.74216028,70469389.33333333,80204096.0,86898408.0,88498394.0,82566121.33333333,79479856.0,83649508.33333333,92594135.0,109666069.53642385
0303,37732343.62139918,50979176.95473251,56305473.251028806,66650617.28395062,82048148.14814815,122813991.76954733,48546460.90534979,36125308.641975306,32832633.744855966,31930367.346938774,34659190.28340081,35680890.68825911,38532429.14979757,39797935.22267207,41404372.46963563,45629839.35742972,58756506.024096385,60987787.95180723,61858108.8,76811350.0,75643293.44262294,81812467.72908367,93107194.02390438,90472673.41269842,92957889.68253969,86886815.47619048,85643955.95238096,88073893.25396825,94425080.63241106,104998384.88372093
2010,7908146.341463415,10383836.784409257,12429439.707673568,14446881.851400731,18557369.06211937,18036630.1703163,18315389.150943395,16069929.245283019,15663234.94687131,15949515.938606847,16629941.03773585,16989410.37735849,17735747.938751474,18775457.746478874,19495176.056338027,20219883.177570093,25099080.607476637,25817808.41121495,27996769.859813083,35081495.911214955,37118580.023364484,38329657.74155995,42977047.410817035,40231404.94821634,38597400.57405281,37426436.571428575,37051871.885714285,38584051.885714285,39758170.28571428,39963389.737742305
2013,7220302.325581395,9225058.00464037,11212366.589327145,13657030.162412994,16863062.6450116,16655381.062355658,17000808.31408776,15252956.120092379,18792055.427251734,18812655.889145497,19652563.51039261,20080481.651376147,20730871.559633028,21707522.935779817,22366123.853211008,22888256.880733944,27830967.96338673,28553353.546910755,30842635.011441648,37302896.33867277,39247590.38901602,40824134.01826484,44489435.15981735,42134410.95890411,41020133.18181818,39947034.31818182,39571069.00452489,39750576.92307692,41561986.42533936,41553971.719457015
2012,8435318.275154004,10724036.885245902,13029159.836065574,15844426.229508197,19031963.92785571,19142084.168336675,19334171.656686626,17267305.389221556,18160881.763527054,18159058.116232466,19387245.508982036,19703888.888888888,21456726.19047619,23276027.66798419,23894703.557312254,24538083.00395257,30041733.201581027,31488708.08678501,34119887.5739645,41755786.98224852,44255504.92125984,45355300.1968504,47356038.385826774,45558330.708661415,45052729.33070866,44369322.265625,44964970.3125,45145055.6640625,47293376.7578125,47597463.671875
1310,8740293.501048218,10491802.935010482,12572935.01048218,14889958.071278825,21360041.928721175,21028846.960167713,21106764.091858037,18276597.07724426,15856283.924843423,15094926.931106472,13968079.331941545,14153507.306889353,14383215.031315241,15071753.653444676,15525929.018789144,16079185.80375783,21223657.67634855,21916286.92946058,23897401.65975104,30555545.435684647,31130649.689440995,33713499.17864476,42459147.13114754,40847339.95901639,38633380.81632653,35039066.2601626,33397565.650406506,33464350.609756097,36039983.94308943,37316344.512195125
2210,10272550.483091788,13822318.84057971,16497777.777777778,19838260.86956522,24467222.222222224,24572753.623188406,24558381.642512076,20983454.106280193,20621932.36714976,20630072.463768117,21598671.49758454,23025821.256038647,23343478.260869566,24789685.990338165,25559447.115384616,27485240.384615384,35229783.65384615,37177552.884615384,40841052.884615384,49662261.686746985,51713603.84615385,54637254.19664269,59087430.695443645,57256668.58513189,54381002.87769784,51194059.71223021,50519346.282973625,51058485.85131895,53669388.48920863,57552799.04076739
1701,4483955.494505495,6054230.769230769,7121015.625,8769244.791666666,12434961.03896104,12087357.512953367,12121033.591731267,11755503.875968993,13203772.609819122,12643255.813953489,12917054.263565892,13197209.302325582,13233565.891472869,12724315.245478036,12993514.211886305,14039948.320413437,17699434.70437018,18357069.40874036,20002416.452442158,26127758.701298703,27232872.987012986,29683990.48843188,35552349.23469388,35077614.030612245,30056106.09137056,26673108.629441623,26457918.274111677,26631940.101522844,26146082.233502537,26766113.197969545
1702,4205289.256198348,7044628.099173553,8566942.14876033,10691115.702479338,15229256.198347107,14898925.61983471,14955826.446280992,14241239.669421488,12656198.347107438,11687066.11570248,11295619.834710743,11458760.330578512,11230041.32231405,11623842.975206612,11940950.41322314,12574090.909090908,16619545.454545455,17632421.487603307,20138324.79338843,29379294.214876033,30749593.801652893,33470789.669421487,39198689.66942149,38404994.21487603,31517206.198347107,28518971.900826447,27387215.2892562,27441497.933884297,26888700.41322314,27805305.785123967
