ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0204,3084.796875,5165.526041666667,6441.71875,7489.361256544503,9765.15625,9758.005208333334,9777.375,8053.896373056995,7370.569948186529,7393.5129533678755,7732.310880829015,8163.4715025906735,8887.134715025906,10756.41237113402,11345.273195876289,12341.876288659794,18510.98469387755,19620.663265306124,21081.051020408162,23007.841836734693,24539.928571428572,25978.61,30585.55,29005.145,27807.395,26361.25,26262.79,26537.045,28018.27093596059,30442.17733990148
0205,3164.0332326283988,4485.888217522659,5560.614457831325,6514.156626506024,9749.813253012047,9762.274096385541,9865.906906906906,8183.934328358209,7513.8328358208955,7544.1074626865675,8226.89552238806,8683.964179104478,9324.017910447761,10321.636904761905,10839.639880952382,11751.020648967551,16332.091445427728,17224.14454277286,19046.31268436578,22129.342105263157,23508.324561403508,24771.545189504373,28638.383954154728,27642.31518624642,26204.211428571427,25140.883190883193,24743.521126760563,25625.29295774648,26441.78491620112,28355.26815642458
2019,4883.890322580645,5988.587096774194,7329.929032258065,8430.477419354838,10801.750537634409,10787.221505376345,10801.397849462366,9255.309677419355,9183.410752688173,9220.96559139785,10020.840860215054,10211.89247311828,10452.34623655914,11083.479569892474,11751.939784946237,12203.54193548387,15198.625806451613,16165.797849462366,17627.98494623656,20927.391397849464,22353.38064516129,23004.311158798282,25353.55150214592,23549.09227467811,23337.463519313304,23206.776824034336,22971.80042918455,23041.553648068668,24029.390557939914,24096.349785407725
2018,5003.5549295774645,6729.659154929577,8077.856338028169,9447.129577464788,12108.769014084508,10769.752112676057,10713.79831932773,9209.627450980392,9051.347338935575,9129.09243697479,9769.226890756303,9871.070028011205,10156.044817927172,10795.392156862745,11311.134453781513,11694.098039215687,14422.788300835655,15268.557103064068,16496.925,19460.536111111112,20726.580555555556,21553.077777777777,24102.723756906078,22602.475138121546,22221.947513812156,21737.43922651934,21526.6546961326,21531.03021978022,22598.247252747253,22906.782967032967
0308,470156.51171875,918156.91796875,1059863.4375,1464474.65625,1799146.80859375,1862002.9921875,1898594.54296875,1227459.6953125,1171063.3929961089,968846.8832684825,894581.53307393,950346.3073929962,1018823.4224806202,1417372.8178294573,1477019.965116279,1783731.554263566,2437260.093023256,2391836.488372093,2256814.2829457363,231840.69960474307,233344.30039525693,1999336.7938931298,2204803.183206107,2466189.859848485,2661949.4053030303,2607398.7765151514,2433939.518939394,2413984.2992424243,2525039.768939394,2662556.121212121
2015,4353.288326300984,5987.922752808989,6830.119718309859,8782.082981715894,10587.316011235955,10688.27106741573,10720.180555555555,9398.34487534626,9312.047619047618,8989.787412587413,9447.625348189415,9514.49721448468,9778.72337482711,10351.886896551725,10709.745205479452,11025.908344733241,13381.931174089068,14243.314591700135,15426.775700934579,20048.838881491345,21162.14456233422,21931.154557463673,24226.828722002636,23442.51937984496,22451.346203346202,21425.88931788932,21268.294723294723,21359.007722007722,21799.20408163265,21986.400510204083
0306,2331609.28342246,5762722.604278075,6753612.522666667,7801751.44,8615752.618666667,8613726.242666667,9565977.175531914,7812421.77393617,7136189.872340426,6426275.074270557,6629910.24933687,6671681.381962865,7043937.502645503,8757291.17989418,8907643.746701848,9824736.428947369,12464212.85,12789548.74015748,12701500.156657964,20162.964577656676,20634.146739130436,13216213.171875,14708547.239583334,15891325.6875,16643435.0,14950335.481770834,13830059.802083334,13794092.732467532,13928263.498701299,15392056.15064935
2017,5140.514598540146,6099.363746958637,7491.987834549878,9141.52862362972,11518.177966101695,11520.188861985473,11570.006038647343,10130.154589371981,10107.657004830919,10116.10615199035,10679.426506024096,10809.520481927711,11490.642256902762,12084.157262905162,12568.565947242207,13008.218899521531,16167.608591885442,16857.644391408114,18255.46062052506,23072.004767580453,24579.645659928658,25147.30769230769,26717.982373678027,24988.829612220918,24419.143360752056,24039.210340775557,24143.161971830985,24210.57981220657,25414.509367681498,25509.83606557377
2016,4809.767313019391,6248.105263157895,7630.060941828255,9238.46887966805,11553.278463648834,11230.111111111111,11269.810699588477,10022.357534246576,9963.526822558459,9612.451169188445,10300.828060522696,10340.766162310867,10617.661179698216,11122.56927297668,11645.068587105625,12056.069958847736,14989.960219478739,15918.78463648834,17245.34693877551,22084.552097428957,23465.952766531715,23959.54116059379,25532.512649800265,24654.025299600533,23974.82689747004,23106.843007915566,23013.036939313984,23110.4036939314,23974.42216358839,24173.076517150395
2011,3940.166101694915,5164.122033898305,6321.755932203389,7290.929054054054,9167.43918918919,9158.902027027027,9167.672297297297,7823.614093959732,7700.465346534654,7890.772277227723,8384.422442244224,8616.60396039604,9137.346534653465,9793.584158415842,10244.940594059406,10654.079207920791,13173.709570957095,13602.168316831683,14877.303630363036,18488.07590759076,19661.38613861386,20145.227722772277,22108.679867986797,20709.445544554455,19803.907590759078,19266.82508250825,19086.214521452144,19842.993399339935,21090.20792079208,21178.52475247525
