ward_preci,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1705,1060,1815,2179,2782,4205,4247,4339,4185,3643,3530,3692,3805,3799,3782,3961,4131,5226,5818,6515,9857,10508,11367,13192,13204,10294,9305,9175,9248,9311,9602
1706,2087,2527,3117,3884,5708,5703,5708,5128,4464,4327,4165,4242,4263,4729,4895,5172,6616,6977,7850,11106,11411,12626,15088,14647,12355,10959,10912,10735,10751,11065
1707,1108,1917,2287,2782,4283,4308,4318,3988,3367,3232,3338,3430,3439,3517,3712,3910,4932,5429,6155,9381,10006,11021,12863,13006,9596,8578,8532,8533,8965,9315
1708,1154,2188,2623,3257,4565,4605,4641,4334,3723,3568,3583,3627,3721,3763,3920,4166,5490,6025,6657,10106,10678,11763,14403,14205,10903,9666,9512,9337,9650,9927
1709,2280,2553,3090,3902,6148,6162,6174,5160,4595,4393,4324,4459,4631,5266,5439,5693,7192,7643,8730,11708,11979,13134,15768,15643,13888,12376,12489,12466,12312,12312
1821,3104,3728,4349,5303,7831,7844,7872,6942,6630,6441,6363,6500,6438,6902,7298,7581,9300,9873,10815,14019,14263,15887,19808,19285,17302,14778,13925,13451,13268,13825
1820,3568,4706,5444,6607,9013,9047,9079,8202,8157,7813,8120,8319,8283,8688,9017,9379,11509,12236,13357,17114,17584,18795,22352,21609,20561,18692,17767,18342,19114,19121
1823,24999227,15689848,15689848,19143115,58971737,58971737,58971737,47821737,45618910,45618912,48370046,49971451,52323514,49621846,49621846,53124890,53925563,36433965,36433965,44243913,44418959,42066389,42198357,43710585,43710585,52355509,51757997,51757997,51817222,52614088
1822,4445,5098,6267,7668,10710,10757,10844,9238,9191,8870,9218,9308,9230,9599,9984,10340,12476,13284,14339,18707,20114,21675,24379,23430,21715,19771,18853,19826,20099,20109
0602,1342,2596,3228,4175,7040,7040,7041,6521,5970,5800,5724,5880,6313,6272,6620,6995,9801,11383,12566,16590,17354,19090,23592,22598,21318,20406,20220,20250,20869,22608
0603,1348,2281,2879,3726,6024,6043,6066,5418,5001,5001,4928,5002,5373,5664,5885,6304,8696,9745,11041,14903,15334,16820,20014,19414,17931,16977,16666,17066,18134,19812
